Key,Fundraiser,Raised,Charity,Operates,Postcode,Activities,Description,Address,FirstDonation,LastDonation
0,"Wansbeck Valley Food Bank",2776.1,"Wansbeck Valley Food Bank",Oxfordshire,"OX14 1ZB","The charity raises funds by various means, for example, subscriptions, donations, coffee mornings, etc. These funds are then donated to the local community hospital for the purchase of equipment which may not be budgeted for under the NHS.",,"Thistledene,Fulbeck  Morpeth,  NE61 3JU",16/03/2020,19/04/2020
1,"Curtis Banks Marathon Challenge",1232,"Lighthouse Women's Aid","City Of Westminster, Wiltshire, Afghanistan, Angola, Armenia, Bosnia And Herzegovina, Burma, Cambodia, Colombia, El Salvador, Georgia, Guatemala, Guinea-bissau, Honduras, Iraq, Jordan, Kosovo, Laos, Libya, Occupied Palestinian Territories, Scotland, Somalia, Sri Lanka, Syria, Ukraine, Yemen, Zimbabwe","DG3 5BF","HALO
1. Helps to eliminate the threat to lives and livelihoods posed by landmines and Explosive Remnants of War (ERW);
2. Designs and delivers physical security & stockpile management (PSSM) of explosive ammunition for the protection of civilians;
3. Reduces the potential for armed violence in fragile states;
4. Responds rapidly to crises to alleviate suffering and enable humanitarian efforts.","Lighthouse Women’s Aid supports women, young people and children who have suffered or are at risk of suffering from domestic violence and abuse by providing safe refuge, information and advice, emotional, practical support and therapeutic interventions to enable them to make informed choices about their lives.
Services currently provided are:
To find out more about the work that we do, please take a look at our website: www.lighthousewa.org.uk
 
 ","Westgate House,Museum Street  Ipswich,  IP1 1HQ",05/02/2020,10/03/2020
2,"Foodbuy Team",954.5,"Duchenne UK",,,,"Two families a week in the UK are told that their child has Duchenne muscular dystrophy (DMD), a devastating muscle wasting disease.
We are an ambitious highly focused charity, investing millions of pounds in research right now to find treatments and a cure and to help this generation.
The charity has been formed by the coming together of Joining Jack and Duchenne Children's Trust, the two biggest funders of research in the UK in the last three years. 
We are committed to continuing to drive momentum to deliver treatments to help this generation of those with DMD.
Please visit our website at www.duchenneuk.org.
Duchenne Muscular Dystrophy is a desperately cruel muscle wasting disease that mainly affects boys. It’s the most common fatal genetic disease to affect children. It is 100% fatal and boys die in their early 20s. There are no treatments and no cure. But thanks to recent breakthroughs and with your help, we can save them.
There are lots of ways up can help us. Make a donation on this page, create your own event, or visit the campaigns and events sections to find out about our latest events - and then please join us.
Join us at an event:
We often have charity places available for fundraisers, check out our fundraising event page.


Every year we run the The Duchenne Dash, our own annual exciting and exhausting 24-hour cycle ride from London to Paris, which over the past 6 years has raised over £3,500,000!!
Please contact events@duchenneuk.org if you are interested in taking a place in any of these events, or want to find out more.
Thank you everyone for your continued and much-needed support.
For more information, please watch this youtube video: https://youtu.be/e2uKGoWO0K4","11 Bedford Road,  London,  W4 1JD",31/10/2019,06/04/2020
3,"Lloyds Banking Group",0,"The Access To Justice Foundation",,,,"Our aim is to improve access to justice for the most vulnerable in society

 
Who we are
The Access to Justice Foundation (ATJF) works in partnership with the network of 9 Legal Support Trusts across the United Kingdom. We provide funding and support to charities that give free legal help to those in need

What We Do
We organise 30 Legal Walks across the country which aim to bring thousands of justice supporters together to raise funds for local legal advice services. Teams of local lawyers will come together with members of the community to support local advice services such as Citizens Advice Bureau and Law Centres. 


Get Involved 

For more information on how to join your nearest Legal Walk, or how to host your own fundraising event for the Trusts you can contact us in the following ways:

Email events@atjf.org.uk
Visit www.atjf.org.uk/local-trusts
Telephone 0207 092 3973","The Access To Justice Foundation,Po Box 64162  London,  WC1A 9AN",,
4,"Anthony Banks",495,"St Christopher's Hospice","East Riding Of Yorkshire, Kingston Upon Hull City, Lincolnshire","PE22 0SU","To seek out and preserve motion picture film showing life and work in the historic county of Lincolnshire, and to make such film accessible to all with an interest in Lincolnshire's local history.","At St Christopher’s Hospice our vision is of a world in which all dying people and those close to them have access to care and support, whenever and wherever they need it.

Each person is unique and we tailor our care to meet social, emotional and spiritual needs, as well as manage physical symptoms. Our goal is to help people live well until they die and support those affected by the loss of a loved one. Every year we provide care and support to over 6,000 people across South East London, both at home and in the hospice.

We passionately believe that everyone should have access to the best care at the end of their lives and have an extensive education programme, working with people across the world, to improve and develop hospice care.

We were founded in 1967 by Dame Cicely Saunders and, 50 years later, her words still remain at the heart of everything we do: “You matter because you are you and you matter until the last moment of your life.”

As a registered charity we need to raise £16 million every year to continue to care for people when it matters most. Without the support of our local communities this wouldn’t be possible. Thank you from us all for your support.","51-59 Lawrie Park Road,Sydenham  London,  SE26 6DZ",05/02/2019,18/02/2019
5,"Grace Banks",1395,"Lions International Blood Research Appeal LIBRA",,,,"LIBRA raises vital funds for the Haematology Department at King's College Hospital in London, helping to tackle blood disorders and cancers including leukaemia, myeloma, lymphoma and more. By choosing to support LIBRA you are helping to improve and save lives.
LIBRA is the only appeal which solely campaigns for these world renowned laboratories and our ambassador is Dame Kelly Holmes. 
Blood disorders affect people of all ages and with our support the haematology team is able to develop new lifesaving treatments that benefit patients in the UK and around the world. 
 our current campaign Going for Gold aims to raise £300,000 to help cover the cost of specialist equipment used for research and development of new and improved blood cancer treatments. 

By supporting LIBRA  you are helping to tackle blood cancers.
","15 Hammer Hill,  Haslemere,Surrey  GU27 3QY",14/05/2015,07/07/2015
6,"Graham Banks",400,"Get Kids Going!","East Sussex, Hampshire, Kent, Surrey, West Sussex","BN27 3AL","Making grants to individuals who are undergoing training at Wonersh Seminary in Surrey.  This is administered on the behalf of the Knights of St Coumba by the Rector of Wonersh Seminary.","Get Kids Going! is a National charity which gives disabled children and young people - up to the age of 26 years - the wonderful opportunity of participating in sport. We provide them with specially built sports wheelchairs so they can do: athletics, marathons, tennis, skiing, rugby, sailing, boccia, basketball, sledge hockey, table tennis, fencing, shooting, archery, powerlifting and many many sports.
Get Kids Going! inspires British disabled youngsters to compete in sporting events, from start to paralympic level, by giving them sports grants to help their; training, physiotherapy, travel, competition fees, design and development of sports wheelchairs etc. With your help many can become world record holders and paralympic champions!

The cost of a bespoke sports wheelchair is about £4000.  A lightweight manual wheelchair is around £2500. An annual sports grant costs on average £2500. All sports wheelchairs are designed individually and perform just like a Formula 1 racing car!
In general there are over 200,000 disabled children and young people in Britain who need the help of Get Kids Going!
 
 ","Flat 4 Chandlery House 40 Gowers Walk,  London,  E1 8BH",04/10/2013,12/11/2013
7,"Rugby Foodbank",5422,Hope4,"Bedford, Central Bedfordshire, Luton",,,"Hope4 is a charity in Rugby, working with hungry, homeless and badly-housed people. Within the work of Hope4 are the Rugby Foodbank, The Hope Centre and the Rugby Winter Shelter. For more information see our website: www.hope4.org.uk.
The Hope Centre is open 364 days a year and provides the following help
Homeless and badly housed people are helped to:


Thank you for your support!","8 Newbold Road,  Rugby,Warwickshire  CV21 2LJ",07/10/2019,19/04/2020
8,"Runnymede Foodbank Covid Appeal",20635,"Runnymede Foodbank","Throughout Wales",,"The WI is non-sectarian and non-party political and is actively involved in the social, envirornmental and consumer issues of the day.","£5 will buy a flask for a homeless person
£10 will fund a Christmas dinner for a local family
£21 will feed a child a hot dinner and dessert for 10 days through one of the school holidays on our Food4Lunch program
Thank you for your generosity


Runnymede Foodbank is part of a UK-wide network of Trussell Trust food banks providing emergency food to people in crisis nationwide.
We cover Runnymede district and the surrounding area to provide a minimum of three days emergency food and support to people experiencing crisis. 
We aim to help people in a crisis by providing food, emotional support and signposting to other services as appropriate, and in doing so, help the person or family deal with the situation they are in more effectively. 
People are referred to Runnymede Foodbank by the agencies working with people in need. This could be Social Workers, Health Visitors, GP’s, Schools, Citizen Advice Bureau and many of the voluntary organisations working in the area. The food (all long life) is generously donated by local people at supermarket collections, Churches, schools and local businesses. 
We serve people of all faith groups and beliefs or none. We are passionate about inclusion and being non-judgemental is central to what we do. We believe that everyone has the right to have food on their plate, dignity and hope for the future. 
The Foodbank would not be able to function without a fabulous team of volunteers who sort the stock, provide a welcoming face to those in need and take part in supermarket collections and other community events.","Beacon Church,95-99 Guildford Street  Chertsey,  KT16 9AS",18/03/2020,19/04/2020
9,"Walton and Hersham Foodbank",16999.52,"St Peters Hersham","West Sussex","RH13 5SA","Monthly meeting of members of the Women's Institute .",,"Burwood Road,Hersham  Walton-on-Thames,Surrey  KT12 4AA",20/10/2019,19/04/2020
