CharityAddress,CharityAreaOfBenefit,CharityAreaOfOperation,CharityId,CharityName,Complete,Created,Description,DonationCount,DonationDetailCount,Donations,Link,MostRecentDonation,Raised,Target,Title
,,,1173202,"Fallowfield & Withington Foodbank",True,2020-11-14,"<p>I am taking part in NCS and we are aiming to raise some money and awareness for food banks around Manchester.</p>",1,1,"2020-11-14 10",https://www.justgiving.com/ncs-food-bank,2020-11-14,10,70,"NCS food bank support"
,,,1110522,"The Trussell Trust",False,2019-11-28,"<div></div><div dir=""auto"">This festive season we’re building on the successes of the previous two years and raising money for the Trussell Trust — a brilliant charity that helps thousands of people in the UK feed their families in times of crisis via foodbanks. Last year, the Trussell Trust network gave out over 1.6 million three-day emergency food supplies to people in need, that’s a 19% increase on the previous financial year.</div><div dir=""auto""><br></div><div dir=""auto"">When we started raising money for the Trussell Trust in 2017, 13 million people were living below the poverty line. Two years on, this number has grown to 14 million. People are going hungry every day for a range of reasons, from benefit delays (due to a drastically underfunded switch to universal basic income) to receiving an unexpected bill on a low income. This number is growing for a multitude of reasons but the responsibility lies in the same place each time. Our current government is failing us.</div><div dir=""auto""><br></div><div dir=""auto"">Winter is always the busiest period for foodbanks, so we’d like your help to raise as much cash as possible. A tin of beans costs as little as 30p, so any donation you make however small or large will really help!</div><div dir=""auto""><br></div><div dir=""auto"">We wish that each year we wouldn't need to fundraise for this cause, it shouldn’t be down to the Trussell Trust (and many other similar organisations), there should be a system that supports and cares for people.</div><div dir=""auto""><br></div><div dir=""auto"">Please share this on all of your social platforms to help us achieve our goal. Then, on December the 12th please vote for a change — the right are failing us all, but most importantly, they're failing those who are in need of a social care system that works.</div><div dir=""auto""><br></div><div dir=""auto"">Thank you, we couldn’t do this without you!</div><div><br></div><div><div><div><div><font color=""#3a3a3a""></font></div></div></div></div>",74,74,"2020-10-25 15/2020-01-11 10/2019-12-24 15/2019-12-19 7/2019-12-19 10/2019-12-17 30/2019-12-16 10/2019-12-14 25/2019-12-14 20/2019-12-14 20/2019-12-14 20/2019-12-14 10/2019-12-13 20/2019-12-13 20/2019-12-12 10/2019-12-12 50/2019-12-11 20/2019-12-11 20/2019-12-11 20/2019-12-11 10/2019-12-10 10/2019-12-10 50/2019-12-10 10/2019-12-10 20/2019-12-10 20/2019-12-10 30/2019-12-09 20/2019-12-09 20/2019-12-07 20/2019-12-07 10/2019-12-06 25/2019-12-05 10/2019-12-05 5/2019-12-05 20/2019-12-03 20/2019-12-03 20/2019-12-03 5/2019-12-03 20/2019-12-02 25/2019-12-02 10/2019-12-01 20/2019-12-01 10/2019-11-30 15/2019-11-29 25/2019-11-29 10/2019-11-29 20/2019-11-29 40/2019-11-29 100/2019-11-29 10/2019-11-29 10/2019-11-29 20/2019-11-29 50/2019-11-29 10/2019-11-29 15/2019-11-29 20/2019-11-29 20/2019-11-29 20/2019-11-29 10/2019-11-29 20/2019-11-28 15/2019-11-28 30/2019-11-28 10/2019-11-28 10/2019-11-28 50",https://www.justgiving.com/Foodbank2019,2020-10-25,1522,1500,"Festive Food Bank Fundraiser 2019"
,,,103325,"FareShare Northern Ireland ( Project of Council for the Homeless NI)",True,2020-11-12,"<p><span>Its that time of the year again, christmas is fast approaching and the food banks need help. This year has been especially difficult with the ongoing pandemic impacting on the physical, financial and mental wellbeing of the community. Fareshare Mallusk is a local charity which relies on the hard work of volunteers to distribute food to the most vulnerable in society and is close to the heart of the Mater Emergency Department. Help us make christmas a little better for those who need it.</span><br></p>",11,11,"2020-11-15 20/2020-11-15 20/2020-11-15 20/2020-11-15 20/2020-11-15 20/2020-11-15 25/2020-11-15 10/2020-11-15 10/2020-11-12 10/2020-11-12 20/2020-11-12 30",https://www.justgiving.com/Serena-Lewis2,2020-11-15,205,1500,"FareShare NI Food bank"
,,,1110522,"The Trussell Trust",True,2020-11-14,"Last year, food banks in our network provided more than 1.6 million emergency food parcels to people in crisis. More than half a million of these went to children. It’s not right that people can’t afford the basics. With your help, we can help end the need for food banks.

As a nation, we expect no one should be left hungry or destitute. Illness, disability, family breakdown or the loss of a job can happen to any of us. With your help #ThisCanChange",0,0,,https://www.justgiving.com/Sadio666,,0,1050,"Josh's Food bank charity "
,,,1110522,"The Trussell Trust",True,2020-11-13,"Last year, food banks in our network provided more than 1.6 million emergency food parcels to people in crisis. More than half a million of these went to children. It’s not right that people can’t afford the basics. With your help, we can help end the need for food banks.

As a nation, we expect no one should be left hungry or destitute. Illness, disability, family breakdown or the loss of a job can happen to any of us. With your help #ThisCanChange",0,0,,https://www.justgiving.com/food-bank,,0,500,"Raising money for the Trussell Trust"
,,,1170815,"Mental Health UK",True,2020-10-16,"<p>Thanks for taking the time to visit my JustGiving page.</p><p>Donating through JustGiving is simple, fast and totally secure. Your details are safe with JustGiving - they'll never sell them on or send unwanted emails. Once you donate, they'll send your money directly to the charity. So it's the most efficient way to donate - saving time and cutting costs for the charity.</p>",0,0,,https://www.justgiving.com/My-January-Pledge,,0,1150,"Commercial Banking "
,,,1110522,"The Trussell Trust",False,2020-11-11,"<p>This winter,<b> every nine seconds </b>in the UK, someone in crisis is expected to need an emergency food parcel from a local food bank, <b>a 61% increase</b> on last year.&nbsp;</p><p>However, lockdown and restrictions have meant that food donations have declined, placing extra pressure on these important services.&nbsp;</p><p>We want to help fund local food banks and the emergency food parcels they provide, so we've set up this fundraising page to enable us all to give what we can to this vital cause; every penny counts.&nbsp;</p><p><span>#ThisCanChange</span><br></p>",43,43,"2020-11-13 10/2020-11-13 1000/2020-11-13 50/2020-11-13 20/2020-11-13 50/2020-11-13 15/2020-11-13 10/2020-11-13 10/2020-11-13 5/2020-11-13 10/2020-11-13 10/2020-11-13 10/2020-11-13 20/2020-11-13 10/2020-11-13 10/2020-11-13 10/2020-11-13 10/2020-11-13 30/2020-11-13 10/2020-11-13 50/2020-11-13 100/2020-11-13 30/2020-11-13 10/2020-11-13 10/2020-11-13 10/2020-11-13 30/2020-11-13 30/2020-11-13 20/2020-11-13 20/2020-11-13 10/2020-11-13 10/2020-11-13 20/2020-11-13 10/2020-11-13 20/2020-11-13 30/2020-11-13 10/2020-11-13 25/2020-11-13 50/2020-11-12 20",https://www.justgiving.com/making-water-count-for-foodbanks,2020-11-13,1885,2000,"Making a difference for food banks"
,,,1119653,"Portsmouth Foodbank",True,2020-11-09,"<p><span>Thanks for taking the time to visit our JustGiving page.</span><br><span><br></span></p><p><span>For our Christmas charity activity this year, we will be collecting donations for our local food bank in Portsmouth. The pandemic has hit many people hard financially, leading to food banks struggling to cope with the new demand. We think this is the best possible way that we can give back to the community this Christmas, and ask for any donations big or small.</span><br></p><p>Donating through JustGiving is simple, fast and totally secure. Your details are safe with JustGiving - they'll never sell them on or send unwanted emails. Once you donate, they'll send your money directly to the charity. So it's the most efficient way to donate - saving time and cutting costs for the charity.</p>",0,0,,https://www.justgiving.com/Apollo-Fire-Detectors1,,0,200,"Apollo Fire's Christmas Food Bank Donations Appeal"
,,,1104771,SMT,False,2020-11-08,"Save the Mothers Trust (SMT) jointly with Bradford Central Lions Club launched its Food Bank in March 2014 to provide food and support to those less fortunate and in need. The Food Bank is located at the SMT head office in Bradford, West Yorkshire. Since the launch of the Food Bank, it has served many individuals as well as families with young children who are suffering extreme hardships due to cut backs in the benefit system. Some of these people have not eaten for several days and have struggled due to the lack of basic amenities such as heating and electricity. We continuously require items to place in food parcels or cash donations to purchase them. We would appreciate your co-operation in achieving our goal to serve the needy, thereby gaining reward from Allah (SWT).
Donate from as little as £5 per month or £30 to provide one food parcel  ",0,0,,https://www.justgiving.com/School-Farmworth-FoodBank,,100,1000,"SMT Food Bank (UK)"
,,,1144831,"Westminster Chapel",True,2020-11-11,"Westminster Foodbank was established in 2011 to help those living in poverty within the Borough. The poverty rate is 30% worse than is typical for London.

We support people on low income, those who have lost their jobs, those who have no recourse to public funds and many more.

We want to make sure everyone is able to have a meal and be able to maintain their dignity. We recognise that food is not the only essential items that individuals need so we provide where possible toiletries, nappies, feminine hygiene products and some household cleaning products.",0,0,,https://www.justgiving.com/Providence-Equity-Westminsterfoodbank,,0,500,"Providence's Christmas Appeal - Westminster Food Bank"
