CharityAddress,CharityAreaOfBenefit,CharityAreaOfOperation,CharityId,CharityName,Complete,Created,Description,DonationCount,DonationDetailCount,Donations,Link,MostRecentDonation,Raised,Target,Title
,,,1110522,"The Trussell Trust",False,2020-04-22,"<p>Last year, food banks in our network provided more than 1.6 million emergency food parcels to people in crisis. More than half a million of these went to children. It’s not right that people can’t afford the basics. With your help, we can help end the need for food banks.&nbsp; As a nation, we expect no one should be left hungry or destitute. Illness, disability, family breakdown or the loss of a job can happen to any of us. With your help #ThisCanChange</p>",80,80,"2020-07-08 30/2020-07-02 200/2020-06-30 2640/2020-06-29 10/2020-06-26 30/2020-06-25 30/2020-06-17 50/2020-06-16 50/2020-06-13 20/2020-06-12 250/2020-06-09 40/2020-06-09 100/2020-06-09 100/2020-06-09 100/2020-06-08 50/2020-06-05 30/2020-06-04 240/2020-06-03 100/2020-06-02 100/2020-06-01 125/2020-06-01 50/2020-06-01 5/2020-05-30 30/2020-05-29 95/2020-05-27 100/2020-05-27 50/2020-05-23 30/2020-05-20 870/2020-05-16 50/2020-05-15 800/2020-05-13 1000/2020-05-12 20/2020-05-12 10/2020-05-11 30/2020-05-11 30/2020-05-11 250/2020-05-10 30/2020-05-10 20/2020-05-10 100/2020-05-10 5/2020-05-09 30/2020-05-07 20/2020-05-06 150/2020-05-06 100/2020-05-05 100/2020-05-05 100/2020-05-03 100/2020-05-03 50/2020-05-03 150/2020-05-02 100/2020-05-02 181/2020-05-01 100/2020-05-01 10/2020-05-01 10/2020-05-01 100/2020-04-30 10/2020-04-30 10",https://www.justgiving.com/Brent-FoodBank,2020-07-08,10456,5000,"Donating to Brent Foodbank"
,,,1153813,"Slough Foodbank",False,2020-06-08,"<p>Slough Foodbank provides emergency food supplies to clients referred to us by 170 different community and government agencies. Since the covid crisis we have seen a significant increase in clients especially among children.</p>",17,17,"2020-09-02 2500/2020-07-29 250/2020-07-27 1000/2020-07-17 10/2020-07-16 10/2020-07-16 20/2020-07-16 10/2020-07-14 1000/2020-07-14 20/2020-07-14 10/2020-07-14 10/2020-07-13 20/2020-07-13 1000/2020-07-02 5000/2020-06-11 100",https://www.justgiving.com/Slough-Foodbank1,2020-09-02,25460,25000,"M4 J3-12 Project - Fundraising for Slough Foodbank"
,,"Throughout London, Kent",1134973,"The Philadelphia Network Limited",False,2020-05-06,"<p>Thanks for taking the time to visit my JustGiving page.</p><p>Donating through JustGiving is simple, fast and totally secure. Your details are safe with JustGiving - they'll never sell them on or send unwanted emails. Once you donate, they'll send your money directly to the charity. So it's the most efficient way to donate - saving time and cutting costs for the charity.</p>",46,46,"2020-11-10 30/2020-11-05 30/2020-11-03 10/2020-11-02 50/2020-11-01 50/2020-10-31 50/2020-10-31 30/2020-10-31 50/2020-10-31 20/2020-10-31 30/2020-10-31 100/2020-08-09 50/2020-07-08 30/2020-07-08 30/2020-06-24 10/2020-06-23 30/2020-05-28 30/2020-05-27 20/2020-05-25 50/2020-05-24 30/2020-05-23 50/2020-05-23 30/2020-05-22 30/2020-05-22 30/2020-05-16 10/2020-05-16 20/2020-05-16 50/2020-05-16 30",https://www.justgiving.com/Fulwood-Foodbank-Appeal,2020-11-10,2220,10000,"Fulwood Foodbank supporting hungry families across Sheffield"
,,"Throughout London, Kent",1134973,"The Philadelphia Network Limited",False,2020-11-09,"<p>Thank you for supporting S6 Foodbank. This time last year I could only walk a few steps due to a dodgy heart. Hooray for the NHS - I had my surgery and now I can walk a few miles every day.&nbsp;</p><p>Every donation made goes directly to support their work. Without the assistance of people and businesses in Sheffield, S6 Foodbank wouldn't be able to continue to support their guests, launch new sites and tackle the ongoing food crisis in Sheffield which is being exacerbated by coronavirus.S6 Foodbank are expecting the increased need to continue for the foreseeable future, as more people experience difficulty as a result of coronavirus and its wider consequences. I believe that nobody in Sheffield should have to face going hungry. A donation of £27 provides food and basic essentials for a family of three for three days. I am aiming to raise at least £40 to help S6 Foodbank reach their £40,000 target. Whatever I raise (up to that target) will be match-funded by the Government via the Love Your Neighbour partnership, meaning S6 Foodbank receives double the amount.Thank you for sponsoring me, and a huge thank you too from Chris and the team </p>",10,10,"2020-11-13 30/2020-11-12 20/2020-11-12 50/2020-11-11 10/2020-11-11 10/2020-11-10 30/2020-11-09 10/2020-11-09 10",https://www.justgiving.com/Laura-Kerr34,2020-11-13,210,100,"S6 Foodbank"
,,,1110522,"The Trussell Trust",True,2020-11-11,"<p><span></span></p><p><span><b>UNIVERSAL MUSIC STAFF CHARITY COMMITTEE FOODBANK INITIATIVE | WINTER 2020</b></span></p><p><span>Thank you for supporting our Foodbank donation initiative, running from </span>23 November - 11<sup>th</sup> December<span>. If you’d like to make a donation, we’d really appreciate anything you can give to help and here are some examples of what your money can do:</span><br><br><span>£10 can help give a parent peace of mind that their family will not go hungry tonight</span></p><p><span>£26 can feed one person for one week&nbsp;</span></p><p><span>£60 can give an average family all their meals for a week</span> <span></span></p><p><span>More information can be found below.</span></p><p><b><span>Thanks so much for your support</span><br><span>Universal Music Group Staff Charity Committee</span></b><span></span></p><p><span>Last year, food banks in our network provided more than 1.6 million emergency food parcels to people in crisis. More than half a million of these went to children. It’s not right that people can’t afford the basics. With your help, we can help end the need for food banks. As a nation, we expect no one should be left hungry or destitute. Illness, disability, family breakdown or the loss of a job can happen to any of us. With your help #ThisCanChange</span><br></p>",0,0,,https://www.justgiving.com/UMGfoodbankTT,,0,500,"Foodbank Initiative"
,,,SC045255,"Glasgow NE Foodbank",False,2020-11-11,"<p>Thanks for taking the time to visit my JustGiving page.</p><p>Donating through JustGiving is simple, fast and totally secure. Your details are safe with JustGiving - they'll never sell them on or send unwanted emails. Once you donate, they'll send your money directly to the charity. So it's the most efficient way to donate - saving time and cutting costs for the charity.</p><p><br></p><p>Organised by Caroline Pirrie, Kevin Quinn and Maida Jackson</p>",16,16,"2020-11-15 10/2020-11-13 10/2020-11-13 10/2020-11-12 10/2020-11-12 20/2020-11-12 30/2020-11-12 20/2020-11-12 10/2020-11-12 20/2020-11-12 10/2020-11-12 20/2020-11-12 20/2020-11-12 10",https://www.justgiving.com/Caroline-Pirrie,2020-11-15,275,400,"Glasgow Site Foodbank Collection"
,,,SC045121,"Glasgow South West Foodbank",True,2020-11-10,"<p>Thanks for taking the time to visit my JustGiving page.</p><p>Donating through JustGiving is simple, fast and totally secure. Your details are safe with JustGiving - they'll never sell them on or send unwanted emails. Once you donate, they'll send your money directly to the charity. So it's the most efficient way to donate - saving time and cutting costs for the charity.</p><p>As we can't do our usual Reverse Advent Calendar box this year, this page is for anyone who wants to make any donation, of whatever size, to help those less fortunate in Glasgow this festive period.&nbsp; Money will go directly to Glasgow SW Foodbank so they can purchase whatever they need.&nbsp;</p><p>Thanks for whatever you can give :)&nbsp;</p>",0,0,,https://www.justgiving.com/xodusglasgowfoodbankfund,,0,250,"Xodus Glasgow Foodbank Fund"
,,,1110522,"The Trussell Trust",False,2020-11-11,"<p>This winter,<b> every nine seconds </b>in the UK, someone in crisis is expected to need an emergency food parcel from a local food bank, <b>a 61% increase</b> on last year.&nbsp;</p><p>However, lockdown and restrictions have meant that food donations have declined, placing extra pressure on these important services.&nbsp;</p><p>We want to help fund local food banks and the emergency food parcels they provide, so we've set up this fundraising page to enable us all to give what we can to this vital cause; every penny counts.&nbsp;</p><p><span>#ThisCanChange</span><br></p>",43,43,"2020-11-13 10/2020-11-13 1000/2020-11-13 50/2020-11-13 20/2020-11-13 50/2020-11-13 15/2020-11-13 10/2020-11-13 10/2020-11-13 5/2020-11-13 10/2020-11-13 10/2020-11-13 10/2020-11-13 20/2020-11-13 10/2020-11-13 10/2020-11-13 10/2020-11-13 10/2020-11-13 30/2020-11-13 10/2020-11-13 50/2020-11-13 100/2020-11-13 30/2020-11-13 10/2020-11-13 10/2020-11-13 10/2020-11-13 30/2020-11-13 30/2020-11-13 20/2020-11-13 20/2020-11-13 10/2020-11-13 10/2020-11-13 20/2020-11-13 10/2020-11-13 20/2020-11-13 30/2020-11-13 10/2020-11-13 25/2020-11-13 50/2020-11-12 20",https://www.justgiving.com/making-water-count-for-foodbanks,2020-11-13,1885,2000,"Making a difference for food banks"
,,,1156261,"Stockport Foodbank",True,2020-11-09,"Stockport Foodbank operates from six centres across Stockport, providing food to people in crisis.",10,10,"2020-11-12 10/2020-11-12 5/2020-11-12 10/2020-11-12 10/2020-11-11 5/2020-11-10 20/2020-11-10 5/2020-11-10 10/2020-11-10 5/2020-11-10 5",https://www.justgiving.com/My-CSP,2020-11-12,85,500,"MyCSP Fundraising for Stockport Foodbank"
,,,1150936,"Watford Foodbank and Community Relief Trust",True,2020-11-08,,0,0,,https://www.justgiving.com/50KWalkForWatfordFoodbank,,0,500,"Dani's 50K Walk For Watford Foodbank "
