CharityAddress,CharityAreaOfBenefit,CharityAreaOfOperation,CharityId,CharityName,Complete,Created,Description,DonationCount,DonationDetailCount,Donations,Link,MostRecentDonation,Raised,Target,Title
,,,1186655,"Bromley Homeless",True,2021-10-26,"<p>I'm raising money for Bromley Homeless. Here's Larry's story which any one of us might identify with, particularly after the past 18 months in the pandemic. Any sum you can spare will be spent on supporting someone in need or directly bringing comfort or relief to their time of hardship. Thank you.</p><p>""I lost everything in the pandemic including my job, my home and my connection with my kids. It wasn't possible to sleep on the buses or pop into a church for a cup of tea. I was reduced to sleeping in woodlands and abandoned lock-ups for six months, until I found [Bromley Homeless]. I will never forget everything you have done for me. Thank you."" - LarryB, aged 51</p>",0,0,,https://www.justgiving.com/Lolly-Bell,,0,1000,"Fundraising for Bromley Homeless this Winter"
,,,1186655,"Bromley Homeless",True,2021-10-26,"I'm raising money for Bromley Homeless. Here's Larry's story which any one of us might identify with, particularly after the past 18 months in the pandemic. Any sum you can spare will be spent on supporting someone in need or directly bringing comfort or relief to their time of hardship. Thank you.

""I lost everything in the pandemic including my job, my home and my connection with my kids. It wasn't possible to sleep on the buses or pop into a church for a cup of tea. I was reduced to sleeping in woodlands and abandoned lock-ups for six months, until I found [Bromley Homeless]. I will never forget everything you have done for me. Thank you."" - LarryB, aged 51",2,2,"2021-11-05 50/2021-11-03 50",https://www.justgiving.com/LollyBell,2021-11-05,100,1000,"Fundraising for Bromley Homeless this Winter"
,,,1082947,Crisis,False,2018-06-25,"<p>Thanks for taking the time to visit my JustGiving page.</p><p>Donating through JustGiving is simple, fast and totally secure. Your details are safe with JustGiving - they'll never sell them on or send unwanted emails. Once you donate, they'll send your money directly to the charity. So it's the most efficient way to donate - saving time and cutting costs for the charity.</p>",18,18,"2021-09-13 5/2021-02-24 10/2020-12-28 30/2020-12-14 20/2020-12-12 15/2020-05-24 10/2020-04-22 10/2020-02-04 15/2019-12-28 50/2019-07-10 7",https://www.justgiving.com/Homeless-Nation,2021-09-13,309,5000,"Homeless's Homeless nation"
,,,1156211,"Wycombe Homeless Connection",False,2021-11-02,"<p></p><p><span>Give while quizzing!&nbsp;</span><span><br><br><span>Wycombe Homeless Connection helps people across south Buckinghamshire who are homeless. This winter, they are providing<br>emergency accommodation and personal support for people who otherwise would be sleeping on the street. They believe everyone has worth, has the right to a home and will do everything they can to bring homelessness to an end.&nbsp;</span></span></p><p><span></span></p><p></p>",21,21,"2021-11-20 20/2021-11-19 10/2021-11-19 20/2021-11-19 20/2021-11-19 100/2021-11-19 50/2021-11-19 30/2021-11-19 50/2021-11-19 100/2021-11-19 20/2021-11-19 50/2021-11-19 40/2021-11-19 10/2021-11-19 50/2021-11-19 30/2021-11-19 10",https://www.justgiving.com/BigQuiz2021,2021-11-20,980,3000,"WHC Big Quiz 2021"
,,,1156211,"Wycombe Homeless Connection",True,2021-11-02,"Winter 2021-22 is going to be extra tough.

Wycombe Homeless Connection needs our help to make sure there will be help and hope this winter for anyone who needs it.

Locally, efforts to keep everyone in have just ended and more people will need a safe place to stay this winter.

The huge challenge they face is keeping everyone who doesnt have a home off the street, in suitable accommodation, with everything they need to stay healthy and well, while helping them find a more suitable, more permanent home. All this while there continues to be a severe shortage of suitable and affordable homes meaning moving on from emergency accommodation can be incredibly difficult.

The good news is because of your support, WHC can be here to help.
",1,1,"2021-11-22 10",https://www.justgiving.com/Wycombe-Homeless-Connection-Test,2021-11-22,10,0,"Wycombe Homeless Connection's Big Sleepout 2021: At Home"
,,,1082947,Crisis,False,2018-11-13,"<p>Homelessness is a heartbreaking plague on our society, a walk around any British city will show you this. As lucky people with access to shelter, water, warmth and food, it’s our job to shine a light on this unfairness and do what we can to help those with nowhere to go.&nbsp;</p><p><br></p><p>Thirsk Homeless Organisation has been doing great work distributing sought after items to charities trying to tackle homelessness in and around York city centre. In a bid to raise more awareness of this nationwide emergency, a small group of us are taking to the streets of York to spend a night in the shoes of those with no home. Luckily for us, this is a one night drive in the hope of raising some money. But this is reality for an ever growing, forgotten, population. It’s not right. If you can, please help us to support Crisis, who offer help to those who need it most, in the darkest possible times. They do unbelievable work but they can’t do it alone. A few quid can really really help.</p><p><br></p><p>We can only imagine how devastating and dehumanising it is to be without support, without a home...combine this desperation with the approach of the Christmas festivities, a time meant for celebration and families and joy. Crisis at Christmas can provide somebody in need with 3 daily hot meals, a shower, a bed for the night, physical and mental health advice, and more for just £28.18!&nbsp;</p><p><br></p><p>Some of the money raised will also be sent to Hoping - York Street Kitchen to help them feed the forgotten population on this city over the festive period and beyond. Angels.&nbsp;</p><p><br></p><p>If you can’t donate right now but want to show your support by joining us, then get in touch. The more the merrier. Solidarity.&nbsp;</p><p><br></p><p>Thank you for reading this.</p><p><br></p><p>Ellie, Beth, Lisa, Kelly, Emma, Anna, Gemma, Kyra&nbsp;xoxoxox</p>",28,28,"2021-02-17 5/2018-12-13 13/2018-12-05 20/2018-12-05 10/2018-11-28 50/2018-11-27 10/2018-11-26 15/2018-11-25 10/2018-11-25 10/2018-11-25 10/2018-11-24 25/2018-11-24 20/2018-11-24 20/2018-11-22 10/2018-11-21 30/2018-11-21 30/2018-11-20 10/2018-11-19 35/2018-11-19 5/2018-11-17 10/2018-11-16 25/2018-11-16 10/2018-11-16 20/2018-11-14 12/2018-11-13 20",https://www.justgiving.com/ThirskHomelessOrganisationSleepout,2021-02-17,470,500,"Thirsk Homeless Organisation Sleepout (York)"
,,,287779,"Single Homeless Project",False,2016-11-29,"<p></p><p>Christmas is a time for being around family, friends and loved ones. But for many homeless people, it is one of the loneliest and most difficult times of the year.</p><p>This Christmas, you can help make a difference to homeless and vulnerable people across London by supporting My Christmas Wish.<span>&nbsp; </span></p><p><b>How will your gift help?</b></p><p></p><ul><li>£15 can pay for a train ticket for one of our clients to visit their family.</li><li>£50 can provide a client with a Christmas hamper full of essential</li><li>£100 can help us to cook Christmas dinner for our hostel residents.</li><li>£250 can fund a social session for our clients so they won’t be alone this Christmas.</li></ul><p></p><p><b>Bee's Story:</b></p><p><span>After a particularly violent episode, Bee left her abusive&nbsp;</span><span>partner and moved into a friend's flat. She spent her first Christmas by&nbsp;</span><span>herself, an experience she describes as ‘terrible’.</span></p><p>Believing herself to be utterly alone, Bee tried to take her own life. With support from SHP, Bee has now made a full recovery, rediscovering her passion for music.&nbsp;</p><p><br></p><p></p>",10,2,"2019-09-18 5/2018-12-16 20",https://www.justgiving.com/Single-Homeless-Project,2019-09-18,47,0,"My Christmas Wish"
,,,1050469,"Wuth Charity",False,2020-04-21,"<p>We here at Homeless Ghost Prints specialise in sport illustration prints. Legend footballer John Barnes appears on our England, Liverpool and Watford prints. John has kindly signed a copy of each team print which we are giving you the chance to win.&nbsp;</p><p>We want to raise as much money as we can to help the COVID-19 appeal for the&nbsp;<span>Wirral University Teaching Hospital NHS Foundation Trust. All funds raised will go to help enhance the well-being of the NHS staff, volunteers, patients, and, Arrowe Park Hospital and Clatterbridge Hospital which have been impacted.&nbsp;</span></p><p><span>There is a minimum donation of £5 for a chance to win one of the signed prints. Please state in the comments section of your donation which team print you want to win and also ensure that you include your full name.&nbsp;</span><br></p><p>HGP and John want to raise as much money as we can to help support these hospitals and their incredible staff.&nbsp;</p><p>Last entry for the competition will be Friday 29th May.</p>",29,29,"2021-02-16 20/2020-06-01 50/2020-06-01 20/2020-05-28 15/2020-05-28 10/2020-05-26 20/2020-05-26 20/2020-05-25 20/2020-05-24 20/2020-05-23 10/2020-05-23 10/2020-05-23 30/2020-05-23 10/2020-05-22 10/2020-05-21 20/2020-05-20 10/2020-05-19 30/2020-05-19 20/2020-05-18 10/2020-05-18 20/2020-05-18 5/2020-05-18 10/2020-05-18 5/2020-05-18 4/2020-05-18 5/2020-05-18 50/2020-05-18 5/2020-05-18 5",https://www.justgiving.com/homelessghostprints,2021-02-16,468,500,"HGP x John Barnes fundraiser to help COVID-19 appeal at WUTH"
,,,1175229,"Sussex Homeless Support CIO",False,2020-12-11,"<p>We support Homeless and Rough Sleepers, to keep them alive and provide much needed support. We believe in giving a hand up not just a hand out.</p><p>homelessSHS@hotmail.com</p><p><span>Thanks for taking the time to visit our JustGiving page.</span></p><p>Donating through JustGiving is simple, fast and totally secure. Your details are safe with JustGiving - they'll never sell them on or send unwanted emails. Once you donate, they'll send your money directly to the charity. So it's the most efficient way to donate - saving time and cutting costs for the charity.</p>",86,86,"2021-11-24 30/2020-12-24 10/2020-12-22 18/2020-12-22 10/2020-12-22 190/2020-12-21 15/2020-12-21 20/2020-12-21 30/2020-12-20 30/2020-12-20 20/2020-12-19 20/2020-12-19 20/2020-12-19 10/2020-12-19 20/2020-12-19 30/2020-12-19 20/2020-12-19 10/2020-12-19 10/2020-12-19 20/2020-12-19 11/2020-12-19 10/2020-12-19 10/2020-12-19 10/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 20/2020-12-18 10/2020-12-18 10/2020-12-18 5/2020-12-18 10/2020-12-18 10/2020-12-18 5/2020-12-18 5/2020-12-18 30/2020-12-18 50/2020-12-18 10/2020-12-18 20/2020-12-18 10/2020-12-18 5/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 5/2020-12-18 10/2020-12-18 20/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 5/2020-12-18 10/2020-12-18 30/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 10/2020-12-18 20/2020-12-18 10/2020-12-18 5",https://www.justgiving.com/SUSSEX-HOMELESS-SUPPORT1,2021-11-24,2222,850,"SHS Do They Know It's Christmas"
,,,1069498,"Herts Young Homeless Group",False,2020-08-21,"<p>Thanks for taking the time to visit our JustGiving page.</p><p>We are fundraising money, as part of out NCS program, for the Young Herts Homeless charity. During the week 24 Aug - 30 Aug, we will be taking part in multiple fundraising events to raise money and awareness for the charity. We will be doing a 10K walk, an online yoga class and we're making Christmas cards and decorations for the charity.</p><p>The yoga zoom class is on Thursday at 12 and will be 30-40 minutes.</p><p><span>This is the link: https://us04web.zoom.us/j/9314851622?pwd=bC9JK1NSL3k2NEdhSTJmNW9aSlBKZz09<br></span></p><p><span>Meeting ID: 931 485 1622<br></span></p><p><span>Passcode: charity</span></p><p>Herts Young Homeless is a unique charity in Hertfordshire providing services to support vulnerable people. The charities focus is to prevent homelessness buy supporting young people in there first homes and caring for people of all ages who have mental health issues and housing needs. HYH wants to empower young people to be able to deal with challenges and difficult situations they find themselves in.&nbsp;</p><p>We would be so grateful if you would donate, and please share with your family and friends.&nbsp;</p><p>https://www.hyh.org.uk/</p>",27,27,"2021-02-19 20/2020-08-29 15/2020-08-29 20/2020-08-28 20/2020-08-27 20/2020-08-27 20/2020-08-26 20/2020-08-26 100/2020-08-26 50/2020-08-26 30/2020-08-26 20/2020-08-26 50/2020-08-26 30/2020-08-26 20/2020-08-26 25/2020-08-25 10/2020-08-24 10/2020-08-23 10/2020-08-23 20/2020-08-22 25/2020-08-22 10/2020-08-22 20",https://www.justgiving.com/Herts-Young-Homeless-NCS,2021-02-19,629,500,"Herts's Herts Young Homeless Fundraising Week - NCS"
